provider,reasoning,qid,sample_idx,extracted,expected,correct,bare_number,junk_prefix,glitch_token,output_tokens,content,thinking
anthropic,low,abelian_720,0,8,10,False,False,False,False,7,**8**,
google-vertex,low,abelian_720,0,8,10,False,True,False,False,5,8,
amazon-bedrock,low,abelian_720,3,10,10,True,False,False,False,94,**10**,720 = 16 × 9 × 5 = 2^4 × 3^2 × 5\n\nPartitions of 4: 5\nPartitions of 2: 2\nPartitions of 1: 1\n\n5 × 2 × 1 = 10
amazon-bedrock,low,abelian_720,4,10,10,True,True,False,False,92,10,720 = 16 × 9 × 5 = 2^4 × 3^2 × 5\n\nPartitions of 4: 5\nPartitions of 2: 2\nPartitions of 1: 1\n\n5 × 2 × 1 = 10
amazon-bedrock,low,abelian_720,7,10,10,True,False,False,False,94,**10**,720 = 16 × 9 × 5 = 2^4 × 3^2 × 5\n\nPartitions of 4: 5\nPartitions of 2: 2\nPartitions of 1: 1\n\n5 × 2 × 1 = 10
amazon-bedrock,low,abelian_720,2,10,10,True,True,False,False,92,10,720 = 16 × 9 × 5 = 2^4 × 3^2 × 5\n\nPartitions of 4: 5\nPartitions of 2: 2\nPartitions of 1: 1\n\n5 × 2 × 1 = 10
amazon-bedrock,low,abelian_720,1,10,10,True,True,False,False,92,10,720 = 16 × 9 × 5 = 2^4 × 3^2 × 5\n\nPartitions of 4: 5\nPartitions of 2: 2\nPartitions of 1: 1\n\n5 × 2 × 1 = 10
amazon-bedrock,low,abelian_720,0,10,10,True,False,False,False,94,**10**,720 = 16 × 9 × 5 = 2^4 × 3^2 × 5\n\nPartitions of 4: 5\nPartitions of 2: 2\nPartitions of 1: 1\n\n5 × 2 × 1 = 10
amazon-bedrock,low,abelian_720,9,10,10,True,True,False,False,92,10,720 = 16 × 9 × 5 = 2^4 × 3^2 × 5\n\nPartitions of 4: 5\nPartitions of 2: 2\nPartitions of 1: 1\n\n5 × 2 × 1 = 10
amazon-bedrock,low,abelian_720,6,10,10,True,True,False,False,92,10,720 = 16 × 9 × 5 = 2^4 × 3^2 × 5\n\nPartitions of 4: 5\nPartitions of 2: 2\nPartitions of 1: 1\n\n5 × 2 × 1 = 10
amazon-bedrock,low,abelian_720,8,10,10,True,True,False,False,92,10,720 = 16 × 9 × 5 = 2^4 × 3^2 × 5\n\nPartitions of 4: 5\nPartitions of 2: 2\nPartitions of 1: 1\n\n5 × 2 × 1 = 10
amazon-bedrock,low,abelian_720,5,10,10,True,True,False,False,92,10,720 = 16 × 9 × 5 = 2^4 × 3^2 × 5\n\nPartitions of 4: 5\nPartitions of 2: 2\nPartitions of 1: 1\n\n5 × 2 × 1 = 10
amazon-bedrock,low,aut_q8,8,24,24,True,True,False,False,5,24,
amazon-bedrock,low,aut_q8,5,24,24,True,True,False,False,5,24,
amazon-bedrock,low,aut_q8,0,24,24,True,True,False,False,5,24,
amazon-bedrock,low,aut_q8,9,24,24,True,True,False,False,5,24,
amazon-bedrock,low,aut_q8,6,24,24,True,True,False,False,5,24,
amazon-bedrock,low,aut_q8,7,24,24,True,True,False,False,5,24,
amazon-bedrock,low,aut_q8,3,24,24,True,True,False,False,5,24,
amazon-bedrock,low,aut_q8,1,24,24,True,True,False,False,5,24,
amazon-bedrock,low,aut_q8,2,24,24,True,True,False,False,5,24,
amazon-bedrock,low,aut_q8,4,24,24,True,True,False,False,5,24,
