dataset,route,placement,model,provider,reasoning,n,n_glitch,pct_glitch,ci_lo,ci_hi
random_number,openrouter,system,anthropic/claude-opus-4.6,amazon-bedrock,low,100,96,96.0,90.16278276739263,98.4336949448152
random_number,openrouter,system,anthropic/claude-opus-4.6,azure/us-east-2,low,100,34,34.0,25.461379497543003,43.722454341689065
random_number,openrouter,system,anthropic/claude-opus-4.6,google-vertex,low,100,32,32.0,23.669010815456883,41.66280225367919
random_number,openrouter,system,anthropic/claude-opus-4.6,anthropic,low,100,12,12.0,6.999337365267776,19.812268002908368
algebra,openrouter,user,anthropic/claude-opus-4.6,google-vertex,low,80,9,11.25,6.032618694827016,20.018410865677552
algebra,openrouter,user,anthropic/claude-opus-4.6,azure/us-east-2,low,80,7,8.75,4.303145464743989,16.97698277708346
algebra,openrouter,user,anthropic/claude-opus-4.6,anthropic,low,80,3,3.75,1.2834336300788758,10.454891974394322
random_number,openrouter,user,anthropic/claude-opus-4.6,amazon-bedrock,low,100,3,3.0,1.0254338223414816,8.452078080402698
random_number,openrouter,user,anthropic/claude-opus-4.8,google-vertex,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,anthropic/claude-opus-5,amazon-bedrock,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,anthropic/claude-opus-5,amazon-bedrock,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,anthropic/claude-opus-5,anthropic,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,anthropic/claude-opus-5,anthropic,none,100,0,0.0,0.0,3.699480747600191
algebra,openrouter,user,anthropic/claude-opus-4.6,amazon-bedrock,low,80,0,0.0,0.0,4.5819736264575095
random_number,openrouter,user,anthropic/claude-opus-5,azure/us-east-2,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,anthropic/claude-opus-4.8,azure/us-east-2,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,anthropic/claude-opus-5,azure/us-east-2,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,anthropic/claude-opus-5,google-vertex,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,anthropic/claude-opus-5,google-vertex,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,anthropic/claude-sonnet-5,amazon-bedrock,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,anthropic/claude-sonnet-5,amazon-bedrock,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,anthropic/claude-opus-4.8,google-vertex,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,anthropic/claude-opus-4.8,amazon-bedrock,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,anthropic/claude-opus-4.8,azure/us-east-2,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,anthropic/claude-opus-4.8,anthropic,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,anthropic/claude-opus-4.8,anthropic,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,anthropic/claude-sonnet-5,anthropic,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,anthropic/claude-opus-4.8,amazon-bedrock,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,anthropic/claude-opus-4.6,google-vertex,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,anthropic/claude-opus-4.6,google-vertex,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,anthropic/claude-opus-4.6,azure/us-east-2,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,anthropic/claude-opus-4.6,azure/us-east-2,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,anthropic/claude-opus-4.6,anthropic,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,anthropic/claude-opus-4.6,anthropic,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,anthropic/claude-opus-4.6,amazon-bedrock,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,anthropic/claude-sonnet-5,anthropic,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,anthropic/claude-sonnet-5,google-vertex,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,anthropic/claude-sonnet-5,azure/us-east-2,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,anthropic/claude-sonnet-5,azure/us-east-2,none,99,0,0.0,0.0,3.7354533573962287
random_number,openrouter,user,openai/gpt-5.6-sol,openai,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,openai/gpt-5.6-sol,azure,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,openai/gpt-5.6-sol,azure,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,openai/gpt-5.5,openai,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,openai/gpt-5.5,openai,low,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,openai/gpt-5.5,azure,none,100,0,0.0,0.0,3.699480747600191
random_number,openrouter,user,openai/gpt-5.5,azure,low,100,0,0.0,0.0,3.699480747600191
