model,provider,reasoning,pct_even_system,pct_even_user,delta,disjoint_ci
openai/gpt-5.6-sol,openai,none,59.0,0.0,-59.0,True
openai/gpt-5.6-sol,azure,low,63.63636363636363,6.0,-57.63636363636363,True
openai/gpt-5.6-sol,openai,low,60.0,3.0,-57.0,True
openai/gpt-5.6-sol,azure,none,53.0,0.0,-53.0,True
anthropic/claude-opus-4.6,azure/us-east-2,low,69.0,98.0,29.0,True
anthropic/claude-opus-4.6,azure/us-east-2,none,34.0,7.0,-27.0,True
anthropic/claude-opus-4.6,google-vertex,low,74.0,100.0,26.0,True
openai/gpt-5.4,azure,low,26.0,0.0,-26.0,True
openai/gpt-5.4,openai,low,24.0,1.0,-23.0,True
openai/gpt-5.4,openai,none,20.0,2.0,-18.0,True
anthropic/claude-opus-4.6,google-vertex,none,28.0,12.0,-16.0,True
anthropic/claude-opus-4.6,amazon-bedrock,low,22.0,9.0,-13.0,False
anthropic/claude-opus-4.6,anthropic,none,12.0,0.0,-12.0,True
anthropic/claude-opus-4.6,anthropic,low,92.0,98.0,6.0,False
anthropic/claude-opus-4.8,amazon-bedrock,none,0.0,5.0,5.0,False
anthropic/claude-opus-4.8,anthropic,none,0.0,4.0,4.0,False
openai/gpt-5.1,azure,none,3.0,0.0,-3.0,False
openai/gpt-5.1,openai,none,3.0,0.0,-3.0,False
anthropic/claude-opus-4.8,google-vertex,low,0.0,2.0,2.0,False
openai/gpt-5.1,azure,low,1.0,0.0,-1.0,False
openai/gpt-5,azure,low,1.0,0.0,-1.0,False
openai/gpt-5,openai,low,1.0,0.0,-1.0,False
anthropic/claude-opus-4.8,google-vertex,none,0.0,1.0,1.0,False
anthropic/claude-opus-4.8,azure/us-east-2,none,0.0,1.0,1.0,False
anthropic/claude-opus-4.8,amazon-bedrock,low,0.0,1.0,1.0,False
openai/gpt-5.2,openai,low,0.0,0.0,0.0,False
anthropic/claude-opus-5,anthropic,none,0.0,0.0,0.0,False
anthropic/claude-opus-4.8,azure/us-east-2,low,0.0,0.0,0.0,False
openai/gpt-5.2,azure,none,0.0,0.0,0.0,False
openai/gpt-5.2,azure,low,0.0,0.0,0.0,False
openai/gpt-5.2,openai,none,0.0,0.0,0.0,False
anthropic/claude-opus-5,azure/us-east-2,none,0.0,0.0,0.0,False
anthropic/claude-opus-5,azure/us-east-2,low,0.0,0.0,0.0,False
anthropic/claude-opus-4.8,anthropic,low,0.0,0.0,0.0,False
openai/gpt-5.1,openai,low,1.0,1.0,0.0,False
openai/gpt-5,azure,none,0.0,0.0,0.0,False
anthropic/claude-opus-4.6,amazon-bedrock,none,0.0,0.0,0.0,False
openai/gpt-5,openai,none,0.0,0.0,0.0,False
openai/gpt-5.4,azure,none,0.0,0.0,0.0,False
openai/gpt-5.5,openai,low,0.0,0.0,0.0,False
openai/gpt-5.5,openai,none,0.0,0.0,0.0,False
openai/gpt-5.5,azure,low,0.0,0.0,0.0,False
openai/gpt-5.5,azure,none,0.0,0.0,0.0,False
anthropic/claude-opus-5,anthropic,low,0.0,0.0,0.0,False
anthropic/claude-opus-5,amazon-bedrock,none,0.0,0.0,0.0,False
anthropic/claude-opus-5,amazon-bedrock,low,0.0,0.0,0.0,False
anthropic/claude-opus-5,google-vertex,none,0.0,0.0,0.0,False
anthropic/claude-sonnet-5,azure/us-east-2,low,0.0,0.0,0.0,False
anthropic/claude-sonnet-5,azure/us-east-2,none,0.0,0.0,0.0,False
anthropic/claude-sonnet-5,google-vertex,low,0.0,0.0,0.0,False
anthropic/claude-opus-5,google-vertex,low,0.0,0.0,0.0,False
anthropic/claude-sonnet-5,amazon-bedrock,low,0.0,0.0,0.0,False
anthropic/claude-sonnet-5,amazon-bedrock,none,0.0,0.0,0.0,False
anthropic/claude-sonnet-5,anthropic,low,0.0,0.0,0.0,False
anthropic/claude-sonnet-5,anthropic,none,0.0,0.0,0.0,False
anthropic/claude-sonnet-5,google-vertex,none,0.0,0.0,0.0,False
