model,provider,reasoning,n,n_odd,pct_odd,ci_lo,ci_hi,n_distinct,modal
anthropic/claude-opus-4.6,amazon-bedrock,low,100,78,78.0,68.9294652849997,84.9988254963442,6,67
anthropic/claude-opus-4.6,amazon-bedrock,none,100,100,100.0,96.30051925239981,99.99999999999999,1,73
anthropic/claude-opus-4.6,anthropic,low,100,8,8.0,4.1092969485810915,14.998266879403072,5,42
anthropic/claude-opus-4.6,anthropic,none,100,88,88.0,80.18773199709163,93.00066263473222,2,73
anthropic/claude-opus-4.6,azure/us-east-2,low,100,31,31.0,22.779563206132377,40.62623947795569,6,42
anthropic/claude-opus-4.6,azure/us-east-2,none,100,66,66.0,56.27754565831095,74.538620502457,2,73
anthropic/claude-opus-4.6,google-vertex,low,100,26,26.0,18.40457812698646,35.37117263186163,6,42
anthropic/claude-opus-4.6,google-vertex,none,100,72,72.0,62.51178763865427,79.86044083240164,2,73
anthropic/claude-opus-4.8,amazon-bedrock,low,100,100,100.0,96.30051925239981,99.99999999999999,1,47
anthropic/claude-opus-4.8,amazon-bedrock,none,100,100,100.0,96.30051925239981,99.99999999999999,1,47
anthropic/claude-opus-4.8,anthropic,low,100,100,100.0,96.30051925239981,99.99999999999999,1,47
anthropic/claude-opus-4.8,anthropic,none,100,100,100.0,96.30051925239981,99.99999999999999,1,47
anthropic/claude-opus-4.8,azure/us-east-2,low,100,100,100.0,96.30051925239981,99.99999999999999,1,47
anthropic/claude-opus-4.8,azure/us-east-2,none,100,100,100.0,96.30051925239981,99.99999999999999,1,47
anthropic/claude-opus-4.8,google-vertex,low,100,100,100.0,96.30051925239981,99.99999999999999,1,47
anthropic/claude-opus-4.8,google-vertex,none,100,100,100.0,96.30051925239981,99.99999999999999,1,47
anthropic/claude-opus-5,amazon-bedrock,low,100,100,100.0,96.30051925239981,99.99999999999999,2,47
anthropic/claude-opus-5,amazon-bedrock,none,100,100,100.0,96.30051925239981,99.99999999999999,2,47
anthropic/claude-opus-5,anthropic,low,100,100,100.0,96.30051925239981,99.99999999999999,3,37
anthropic/claude-opus-5,anthropic,none,100,100,100.0,96.30051925239981,99.99999999999999,2,47
anthropic/claude-opus-5,azure/us-east-2,low,100,100,100.0,96.30051925239981,99.99999999999999,2,47
anthropic/claude-opus-5,azure/us-east-2,none,100,100,100.0,96.30051925239981,99.99999999999999,2,37
anthropic/claude-opus-5,google-vertex,low,100,100,100.0,96.30051925239981,99.99999999999999,3,37
anthropic/claude-opus-5,google-vertex,none,100,100,100.0,96.30051925239981,99.99999999999999,2,37
anthropic/claude-sonnet-5,amazon-bedrock,low,100,100,100.0,96.30051925239981,99.99999999999999,3,47
anthropic/claude-sonnet-5,amazon-bedrock,none,100,100,100.0,96.30051925239981,99.99999999999999,2,47
anthropic/claude-sonnet-5,anthropic,low,100,100,100.0,96.30051925239981,99.99999999999999,1,47
anthropic/claude-sonnet-5,anthropic,none,100,100,100.0,96.30051925239981,99.99999999999999,2,47
anthropic/claude-sonnet-5,azure/us-east-2,low,100,100,100.0,96.30051925239981,99.99999999999999,2,47
anthropic/claude-sonnet-5,azure/us-east-2,none,100,100,100.0,96.30051925239981,99.99999999999999,2,47
anthropic/claude-sonnet-5,google-vertex,low,100,100,100.0,96.30051925239981,99.99999999999999,3,47
anthropic/claude-sonnet-5,google-vertex,none,100,100,100.0,96.30051925239981,99.99999999999999,2,47
openai/gpt-5.6-sol,azure,low,99,36,36.36363636363637,27.561748409823284,46.18428432401205,6,42
openai/gpt-5.6-sol,azure,none,100,47,47.0,37.51065198210374,56.71131686275227,7,42
openai/gpt-5.6-sol,openai,low,100,40,40.0,30.93997461136028,49.79992153815976,7,42
openai/gpt-5.6-sol,openai,none,100,41,41.0,31.867157095664655,50.79874943890338,5,42
openai/gpt-5.5,azure,low,100,100,100.0,96.30051925239981,99.99999999999999,1,37
openai/gpt-5.5,azure,none,100,100,100.0,96.30051925239981,99.99999999999999,3,37
openai/gpt-5.5,openai,low,100,100,100.0,96.30051925239981,99.99999999999999,3,37
openai/gpt-5.5,openai,none,100,100,100.0,96.30051925239981,99.99999999999999,3,37
openai/gpt-5.4,azure,low,100,74,74.0,64.62882736813837,81.59542187301354,6,42
openai/gpt-5.4,azure,none,100,100,100.0,96.30051925239981,99.99999999999999,12,57
openai/gpt-5.4,openai,low,100,76,76.0,66.76748127670787,83.30878873454004,4,73
openai/gpt-5.4,openai,none,100,80,80.0,71.11690380734977,86.66340774409012,8,57
openai/gpt-5.2,azure,low,100,100,100.0,96.30051925239981,99.99999999999999,3,73
openai/gpt-5.2,azure,none,100,100,100.0,96.30051925239981,99.99999999999999,3,73
openai/gpt-5.2,openai,low,100,100,100.0,96.30051925239981,99.99999999999999,3,73
openai/gpt-5.2,openai,none,100,100,100.0,96.30051925239981,99.99999999999999,3,73
openai/gpt-5.1,azure,low,100,99,99.0,94.55124752390654,99.82326134344525,8,37
openai/gpt-5.1,azure,none,100,97,97.0,91.5479219195973,98.9745661776585,24,37
openai/gpt-5.1,openai,low,100,99,99.0,94.55124752390654,99.82326134344525,7,37
openai/gpt-5.1,openai,none,100,97,97.0,91.5479219195973,98.9745661776585,32,17
openai/gpt-5,azure,low,100,99,99.0,94.55124752390654,99.82326134344525,6,73
openai/gpt-5,azure,none,100,100,100.0,96.30051925239981,99.99999999999999,17,73
openai/gpt-5,openai,low,100,99,99.0,94.55124752390654,99.82326134344525,8,73
openai/gpt-5,openai,none,100,100,100.0,96.30051925239981,99.99999999999999,11,73
