model,provider,reasoning,n,n_odd,pct_odd,ci_lo,ci_hi,n_distinct,modal
anthropic/claude-opus-4.6,amazon-bedrock,low,100,91,91.0,83.77362530335634,95.1928004836115,2,73
anthropic/claude-opus-4.6,amazon-bedrock,none,100,100,100.0,96.30051925239981,99.99999999999999,1,73
anthropic/claude-opus-4.6,anthropic,low,100,2,2.0,0.5501852234968185,7.001316294199365,2,42
anthropic/claude-opus-4.6,anthropic,none,100,100,100.0,96.30051925239981,99.99999999999999,1,73
anthropic/claude-opus-4.6,azure/us-east-2,low,100,2,2.0,0.5501852234968185,7.001316294199365,2,42
anthropic/claude-opus-4.6,azure/us-east-2,none,100,93,93.0,86.25032899347025,96.5681175635936,2,73
anthropic/claude-opus-4.6,google-vertex,low,100,0,0.0,0.0,3.699480747600191,1,42
anthropic/claude-opus-4.6,google-vertex,none,100,88,88.0,80.18773199709163,93.00066263473222,2,73
anthropic/claude-opus-4.8,amazon-bedrock,low,100,99,99.0,94.55124752390654,99.82326134344525,2,47
anthropic/claude-opus-4.8,amazon-bedrock,none,100,95,95.0,88.82480347279117,97.84566385436864,5,47
anthropic/claude-opus-4.8,anthropic,low,100,100,100.0,96.30051925239981,99.99999999999999,1,47
anthropic/claude-opus-4.8,anthropic,none,100,96,96.0,90.16278276739263,98.4336949448152,3,47
anthropic/claude-opus-4.8,azure/us-east-2,low,100,100,100.0,96.30051925239981,99.99999999999999,1,47
anthropic/claude-opus-4.8,azure/us-east-2,none,100,99,99.0,94.55124752390654,99.82326134344525,4,47
anthropic/claude-opus-4.8,google-vertex,low,100,98,98.0,92.99868370580063,99.44981477650317,2,47
anthropic/claude-opus-4.8,google-vertex,none,100,99,99.0,94.55124752390654,99.82326134344525,4,47
anthropic/claude-opus-5,amazon-bedrock,low,100,100,100.0,96.30051925239981,99.99999999999999,2,47
anthropic/claude-opus-5,amazon-bedrock,none,100,100,100.0,96.30051925239981,99.99999999999999,2,37
anthropic/claude-opus-5,anthropic,low,100,100,100.0,96.30051925239981,99.99999999999999,2,47
anthropic/claude-opus-5,anthropic,none,100,100,100.0,96.30051925239981,99.99999999999999,2,37
anthropic/claude-opus-5,azure/us-east-2,low,100,100,100.0,96.30051925239981,99.99999999999999,2,37
anthropic/claude-opus-5,azure/us-east-2,none,100,100,100.0,96.30051925239981,99.99999999999999,2,47
anthropic/claude-opus-5,google-vertex,low,100,100,100.0,96.30051925239981,99.99999999999999,2,47
anthropic/claude-opus-5,google-vertex,none,100,100,100.0,96.30051925239981,99.99999999999999,2,37
anthropic/claude-sonnet-5,amazon-bedrock,low,100,100,100.0,96.30051925239981,99.99999999999999,1,47
anthropic/claude-sonnet-5,amazon-bedrock,none,100,100,100.0,96.30051925239981,99.99999999999999,4,37
anthropic/claude-sonnet-5,anthropic,low,100,100,100.0,96.30051925239981,99.99999999999999,2,47
anthropic/claude-sonnet-5,anthropic,none,100,100,100.0,96.30051925239981,99.99999999999999,5,47
anthropic/claude-sonnet-5,azure/us-east-2,low,100,100,100.0,96.30051925239981,99.99999999999999,2,47
anthropic/claude-sonnet-5,azure/us-east-2,none,99,99,100.0,96.26454664260378,100.0,5,47
anthropic/claude-sonnet-5,google-vertex,low,100,100,100.0,96.30051925239981,99.99999999999999,1,47
anthropic/claude-sonnet-5,google-vertex,none,100,100,100.0,96.30051925239981,99.99999999999999,4,47
openai/gpt-5.6-sol,azure,low,100,94,94.0,87.52303146877748,97.22142547333434,5,57
openai/gpt-5.6-sol,azure,none,100,100,100.0,96.30051925239981,99.99999999999999,4,57
openai/gpt-5.6-sol,openai,low,100,97,97.0,91.5479219195973,98.9745661776585,5,57
openai/gpt-5.6-sol,openai,none,100,100,100.0,96.30051925239981,99.99999999999999,4,57
openai/gpt-5.5,azure,low,100,100,100.0,96.30051925239981,99.99999999999999,3,37
openai/gpt-5.5,azure,none,100,100,100.0,96.30051925239981,99.99999999999999,3,37
openai/gpt-5.5,openai,low,100,100,100.0,96.30051925239981,99.99999999999999,3,37
openai/gpt-5.5,openai,none,100,100,100.0,96.30051925239981,99.99999999999999,3,37
openai/gpt-5.4,azure,low,100,100,100.0,96.30051925239981,99.99999999999999,5,37
openai/gpt-5.4,azure,none,100,100,100.0,96.30051925239981,99.99999999999999,10,57
openai/gpt-5.4,openai,low,100,99,99.0,94.55124752390654,99.82326134344525,6,37
openai/gpt-5.4,openai,none,100,98,98.0,92.99868370580063,99.44981477650317,9,57
openai/gpt-5.2,azure,low,100,100,100.0,96.30051925239981,99.99999999999999,3,73
openai/gpt-5.2,azure,none,100,100,100.0,96.30051925239981,99.99999999999999,3,73
openai/gpt-5.2,openai,low,100,100,100.0,96.30051925239981,99.99999999999999,3,73
openai/gpt-5.2,openai,none,100,100,100.0,96.30051925239981,99.99999999999999,3,73
openai/gpt-5.1,azure,low,100,100,100.0,96.30051925239981,99.99999999999999,5,37
openai/gpt-5.1,azure,none,100,100,100.0,96.30051925239981,99.99999999999999,23,37
openai/gpt-5.1,openai,low,100,99,99.0,94.55124752390654,99.82326134344525,6,37
openai/gpt-5.1,openai,none,100,100,100.0,96.30051925239981,99.99999999999999,43,37
openai/gpt-5,azure,low,100,100,100.0,96.30051925239981,99.99999999999999,8,73
openai/gpt-5,azure,none,100,100,100.0,96.30051925239981,99.99999999999999,8,73
openai/gpt-5,openai,low,100,100,100.0,96.30051925239981,99.99999999999999,6,73
openai/gpt-5,openai,none,100,100,100.0,96.30051925239981,99.99999999999999,7,73
